product_name,price,og_price,product_link,img_url
Merino wool jumper,2399.0,2999.0,https://www2.hm.com/en_in/productpage.0863644025.html,"https://lp2.hm.com/hmgoepprod?set=source[/ba/0d/ba0db6e079af4b65469766cb36d9d59f7a304b8b.jpg],origin[dam],category[men_cardigansjumpers_jumpers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Wool-blend coat,6499.0,9999.0,https://www2.hm.com/en_in/productpage.1099971001.html,"https://lp2.hm.com/hmgoepprod?set=source[/f9/19/f9191a086ac429c42b1e5379787c45fff590cd68.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Cotton joggers,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1035205017.html,"https://lp2.hm.com/hmgoepprod?set=source[/9d/d7/9dd72b89e85ecc4b32342af0d052bfa66b17d3df.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Pool shoes,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1075539004.html,"https://lp2.hm.com/hmgoepprod?set=source[/7d/53/7d53ae0cc8ed79f9480183377db1f4aab6e074d4.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Short-sleeved Oxford shirt,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1134949002.html,"https://lp2.hm.com/hmgoepprod?set=source[/04/75/0475f879291acbc710fa37df6a4634faa7ca0c64.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Linen-blend T-shirt,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1043199009.html,"https://lp2.hm.com/hmgoepprod?set=source[/8b/46/8b46147521d8fdee8137e556a5f86bba30ac4ec9.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Lyocell resort shirt,1279.0,1499.0,https://www2.hm.com/en_in/productpage.1099637003.html,"https://lp2.hm.com/hmgoepprod?set=source[/18/df/18df342906cfeb65f36d2ce6db2b413f5a90b902.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Rectangular sunglasses,679.0,799.0,https://www2.hm.com/en_in/productpage.1148016002.html,"https://lp2.hm.com/hmgoepprod?set=source[/bc/eb/bceb5dd8f9411a17ce6dacb1889d4047a11b5ad7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Regular Fit Linen-blend trousers,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1064346005.html,"https://lp2.hm.com/hmgoepprod?set=source[/5b/eb/5beb98ff12667588fb0fe78d42ba63ec5eafb753.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Rectangular sunglasses,679.0,799.0,https://www2.hm.com/en_in/productpage.1148016004.html,"https://lp2.hm.com/hmgoepprod?set=source[/31/13/3113128d18f37deb6d4493040cee47f2b5a4aa15.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Relaxed Fit Rugby shirt,1839.0,2299.0,https://www2.hm.com/en_in/productpage.1043711007.html,"https://lp2.hm.com/hmgoepprod?set=source[/db/86/db86c17f6717df65ef3625de324102b8714e92eb.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
